"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Afghanistan","AFG","Asia","LIC",2020,"ARIMA(0,2,1)",0.736077137907447,0.667944748829991,0.804209526984904,0.7,-0.0360771379074472,0.0320552511700093,-0.104209526984904,TRUE,1349260,404778
"Afghanistan","AFG","Asia","LIC",2021,"ARIMA(0,2,1)",0.752154275814894,0.63588762537076,0.868420926259029,0.66,-0.0921542758148943,0.0241123746292399,-0.208420926259029,TRUE,1387559,471770
"Afghanistan","AFG","Asia","LIC",2022,"ARIMA(0,2,1)",0.768231413722342,0.600935171219074,0.93552765622561,0.69,-0.0782314137223417,0.0890648287809263,-0.24552765622561,TRUE,1397103,433102
"Angola","AGO","Africa","LMIC",2020,"ARIMA(0,1,0)",0.57,0.493427820441531,0.646572179558469,0.51,-0.0599999999999999,0.0165721795584689,-0.136572179558469,TRUE,1260616,617702
"Angola","AGO","Africa","LMIC",2021,"ARIMA(0,1,0)",0.57,0.461710585167945,0.678289414832054,0.45,-0.12,-0.0117105851679455,-0.228289414832054,FALSE,1286766,707721
"Angola","AGO","Africa","LMIC",2022,"ARIMA(0,1,0)",0.57,0.437373094558445,0.702626905441555,0.42,-0.15,-0.017373094558445,-0.282626905441555,FALSE,1306749,757914
"Albania","ALB","Europe","UMIC",2020,"ARIMA(2,1,0)",0.99,0.977814613158256,0.99,0.98,-0.01,0.00218538684174374,-0.01,TRUE,29309,586
"Albania","ALB","Europe","UMIC",2021,"ARIMA(2,1,0)",0.99,0.977568860124941,0.99,0.98,-0.01,0.0024311398750585,-0.01,TRUE,29062,581
"Albania","ALB","Europe","UMIC",2022,"ARIMA(2,1,0)",0.99,0.976458290958223,0.99,0.97,-0.02,-0.00645829095822337,-0.02,FALSE,28591,858
"Andorra","AND","Europe","HIC",2020,"ARIMA(0,0,1) with non-zero mean",0.982362935189194,0.95329841273388,0.99,0.99,0.00763706481080573,0.0367015872661202,0,TRUE,588,6
