"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Afghanistan","AFG","Asia","LIC",2020,"ARIMA(0,1,0) with drift",0.659473684210731,0.580674898764295,0.738272469657168,0.66,0.000526315789268872,0.0793251012357054,-0.0782724696571676,TRUE,1349260,458748
"Afghanistan","AFG","Asia","LIC",2021,"ARIMA(0,1,0) with drift",0.678947368421462,0.567509057344584,0.79038567949834,0.63,-0.0489473684214622,0.062490942655416,-0.16038567949834,TRUE,1387559,513397
"Afghanistan","AFG","Asia","LIC",2022,"ARIMA(0,1,0) with drift",0.698421052632193,0.561937552664246,0.83490455260014,0.68,-0.0184210526321933,0.118062447335754,-0.15490455260014,TRUE,1397103,447073
"Angola","AGO","Africa","LMIC",2020,"ARIMA(0,0,1) with non-zero mean",0.443757987853952,0.235438354240467,0.652077621467436,0.44,-0.00375798785395154,0.204561645759533,-0.212077621467436,TRUE,1260616,705945
"Angola","AGO","Africa","LMIC",2021,"ARIMA(0,0,1) with non-zero mean",0.476447242134191,0.200180441653786,0.752714042614597,0.36,-0.116447242134191,0.159819558346214,-0.392714042614597,TRUE,1286766,823530
"Angola","AGO","Africa","LMIC",2022,"ARIMA(0,0,1) with non-zero mean",0.476447242134191,0.200180441653786,0.752714042614597,0.37,-0.106447242134191,0.169819558346214,-0.382714042614597,TRUE,1306749,823252
"Albania","ALB","Europe","UMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.955514184697654,0.927726578741608,0.983301790653701,0.91,-0.0455141846976543,-0.0177265787416078,-0.0733017906537009,FALSE,29309,2638
"Albania","ALB","Europe","UMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.958719809825823,0.926577847550105,0.99,0.87,-0.0887198098258227,-0.0565778475501049,-0.12,FALSE,29062,3778
"Albania","ALB","Europe","UMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.960583373167601,0.927097592758794,0.99,0.86,-0.100583373167601,-0.067097592758794,-0.13,FALSE,28591,4003
"Andorra","AND","Europe","HIC",2020,"ARIMA(0,0,1) with non-zero mean",0.977682080300048,0.942610135745044,0.99,0.98,0.00231791969995176,0.0373898642549555,-0.01,TRUE,588,12
"Andorra","AND","Europe","HIC",2021,"ARIMA(0,0,1) with non-zero mean",0.969603249356497,0.929174201159713,0.99,0.99,0.0203967506435031,0.060825798840287,0,TRUE,564,6
"Andorra","AND","Europe","HIC",2022,"ARIMA(0,0,1) with non-zero mean",0.969603249356497,0.929174201159713,0.99,0.98,0.0103967506435031,0.050825798840287,-0.01,TRUE,572,11
"United Arab Emirates","ARE","Asia","HIC",2020,"ARIMA(1,1,0)",0.99,0.975951017184856,0.99,0.99,0,0.0140489828151444,0,TRUE,98172,982
"United Arab Emirates","ARE","Asia","HIC",2021,"ARIMA(1,1,0)",0.99,0.96452690800695,0.99,0.99,0,0.0254730919930505,0,TRUE,96086,961
"United Arab Emirates","ARE","Asia","HIC",2022,"ARIMA(1,1,0)",0.99,0.954351809031706,0.99,0.98,-0.01,0.0256481909682935,-0.01,TRUE,92927,1859
"Argentina","ARG","Americas","UMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.888918847209449,0.829176356445396,0.948661337973503,0.77,-0.118918847209449,-0.0591763564453959,-0.178661337973503,FALSE,630707,145063
