"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Afghanistan","AFG","ARIMA(0,1,0)","75.0%","66.8%","83.2%"
"Albania","ALB","ARIMA(0,1,1) with drift","99.0%","98.3%","100.3%"
"Algeria","DZA","ARIMA(0,1,0)","96.0%","93.1%","98.9%"
"Andorra","AND","ARIMA(0,0,0) with non-zero mean","98.4%","96.0%","100.8%"
"Angola","AGO","ARIMA(0,1,0)","67.0%","55.7%","78.3%"
"Antigua and Barbuda","ATG","ARIMA(0,0,0) with non-zero mean","98.6%","97.0%","100.2%"
"Argentina","ARG","ARIMA(0,1,0)","87.0%","82.1%","91.9%"
"Armenia","ARM","ARIMA(3,0,0) with non-zero mean","96.1%","95.1%","97.1%"
"Australia","AUS","ARIMA(1,0,0) with non-zero mean","97.5%","94.4%","100.6%"
"Austria","AUT","ARIMA(0,0,0) with non-zero mean","95.3%","87.8%","102.7%"
"Azerbaijan","AZE","ARIMA(0,1,0) with drift","96.7%","93.1%","100.3%"
"Bahamas","BHS","ARIMA(1,1,0)","92.4%","88.4%","96.4%"
"Bahrain","BHR","ARIMA(0,0,0) with non-zero mean","98.6%","97.4%","99.8%"
"Bangladesh","BGD","ARIMA(0,1,1) with drift","99.0%","96.7%","102.7%"
"Barbados","BRB","ARIMA(0,0,0) with non-zero mean","94.2%","87.4%","100.9%"
"Belarus","BLR","ARIMA(0,0,0) with non-zero mean","97.3%","86.5%","108.1%"
"Belgium","BEL","ARIMA(1,1,0)","99.0%","98.4%","99.6%"
"Belize","BLZ","ARIMA(0,0,0) with non-zero mean","97.2%","93.0%","101.5%"
"Benin","BEN","ARIMA(1,0,0) with non-zero mean","84.9%","80.4%","89.5%"
"Bhutan","BTN","ARIMA(0,1,1)","98.6%","95.3%","101.9%"
"Bolivia (Plurinational State of)","BOL","ARIMA(0,0,1) with non-zero mean","86.8%","78.0%","95.5%"
"Bosnia and Herzegovina","BIH","ARIMA(2,0,0) with non-zero mean","90.0%","85.2%","94.9%"
