"country","iso_code","Y2019","Y2020","delta"
"Afghanistan","AFG",0.72,0.736077137907447,0.0160771379074471
"Albania","ALB",0.99,0.99,0
"Algeria","DZA",0.91,0.91,0
"Andorra","AND",0.99,0.982362935189194,-0.00763706481080573
"Angola","AGO",0.57,0.57,0
"Antigua and Barbuda","ATG",0.95,0.961364931050415,0.0113649310504149
"Argentina","ARG",0.83,0.853462021279641,0.0234620212796408
"Armenia","ARM",0.92,0.921407332914967,0.00140733291496731
"Australia","AUS",0.95,0.95,0
"Austria","AUT",0.85,0.85,0
"Azerbaijan","AZE",0.94,0.949473684210536,0.0094736842105364
"Bahamas","BHS",0.89,0.90158787394577,0.0115878739457702
"Bahrain","BHR",0.99,0.9815,-0.0085000000000004
"Bangladesh","BGD",0.98,0.98,0
"Barbados","BRB",0.9,0.9055,0.00549999999999995
"Belarus","BLR",0.98,0.954999999999999,-0.0250000000000006
"Belgium","BEL",0.98,0.98,0
"Belize","BLZ",0.98,0.95,-0.0300000000000002
"Benin","BEN",0.76,0.757000000000054,-0.00299999999994605
"Bhutan","BTN",0.97,0.97,0
"Bolivia (Plurinational State of)","BOL",0.75,0.76648183882503,0.0164818388250304
"Bosnia and Herzegovina","BIH",0.73,0.719222137912496,-0.0107778620875039
"Botswana","BWA",0.95,0.95,0
"Brazil","BRA",0.7,0.633948225377901,-0.0660517746220988
"Brunei Darussalam","BRN",0.99,0.984364392050377,-0.00563560794962337
"Bulgaria","BGR",0.93,0.93,0
"Burkina Faso","BFA",0.91,0.91,-1.11022302462516e-16
"Burundi","BDI",0.93,0.93,0
"Cabo Verde","CPV",0.96,0.953835617568708,-0.00616438243129203
"Cambodia","KHM",0.92,0.92,0
"Cameroon","CMR",0.67,0.673630709144715,0.00363070914471531
"Canada","CAN",0.91,0.908973150079904,-0.00102684992009594
"Central African Republic","CAF",0.42,0.438499999999842,0.0184999999998418
"Chad","TCD",0.5,0.5,0
"Chile","CHL",0.96,0.945872191038717,-0.0141278089612827
"China","CHN",0.99,0.99,0
"Colombia","COL",0.94,0.927523357191832,-0.0124766428081678
"Comoros","COM",0.91,0.91,0
"Congo","COG",0.79,0.79,0
"Costa Rica","CRI",0.95,0.95,0
