"Country","ISO code","Region","Income group","Gavi eligibility status","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (lower bound)","ARIMA modelled expected coverage (upper bound)","WUENIC reported 2020 coverage","Coverage delta","cov_delta_high","cov_delta_low","confident_95","ci_width","un_region","Data unreliable flag","Surviving infants","Additional missed children (mean)","Additional missed children (lower bound)","Additional missed children (upper bound)","Expected missed children","Total missed children"
"Afghanistan","AFG","South Asia","LIC","Initial self-financing","73.6%",0.667944748829991,0.804209526984904,"70.0%","-3.6%",-0.104209526984904,0.0320552511700093,FALSE,0.136264778154913,"Asia",FALSE,1157321,41752,-37098,120603,305443,347196
"Andorra","AND","Western Europe","HIC","Never Gavi","98.2%",0.95329841273388,1.01142745764451,"99.0%","0.8%",-0.0214274576445088,0.0367015872661202,FALSE,0.058129044910629,"Europe",FALSE,NA,NA,NA,NA,NA,NA
"Angola","AGO","Eastern & Southern Africa","LMIC","Fully self-financing","57.0%",0.493427820441531,0.646572179558469,"51.0%","-6.0%",-0.136572179558469,0.0165721795584689,FALSE,0.153144359116938,"Africa",FALSE,1236834,74210,-20497,168917,531838,606048
"Antigua and Barbuda","ATG","Latin America & Caribbean","HIC","Never Gavi","96.1%",0.925405214711406,0.997324647389424,"96.0%","-0.1%",-0.0373246473894236,0.0345947852885938,FALSE,0.0719194326780175,"Americas",FALSE,1450,1,-50,54,56,58
"Argentina","ARG","Latin America & Caribbean","UMIC","Never Gavi","85.3%",0.789474590063481,0.917449452495801,"74.0%","-11.3%",-0.177449452495801,-0.0494745900634809,TRUE,0.12797486243232,"Americas",FALSE,744894,84517,36853,132181,109155,193672
"Australia","AUS","East Asia & Pacific","HIC","Never Gavi","95.0%",0.935081420482975,0.964918579517025,"95.0%","0.0%",-0.0149185795170247,0.0149185795170247,FALSE,0.0298371590340494,"Oceania",FALSE,317554,0,-4737,4737,15877,15877
"Austria","AUT","Western Europe","HIC","Never Gavi","85.0%",0.790008558774036,0.909991441225964,"85.0%","0.0%",-0.0599914412259638,0.0599914412259638,FALSE,0.119982882451928,"Europe",FALSE,89448,0,-5366,5366,13417,13417
"Azerbaijan","AZE","Eastern Europe & Central Asia","UMIC","Fully self-financing","94.9%",0.910560459327167,0.988386909093906,"79.0%","-15.9%",-0.198386909093906,-0.120560459327167,TRUE,0.0778264497667391,"Asia",FALSE,153771,24522,18538,30506,7769,32291
"Bahrain","BHR","Middle East & North Africa","HIC","Never Gavi","98.1%",0.965570829770229,0.99742917022977,"98.0%","-0.1%",-0.0174291702297701,0.0144291702297709,FALSE,0.0318583404595409,"Asia",FALSE,21974,32,-317,382,406,439
"Bangladesh","BGD","South Asia","LMIC","Preparatory transition phase","98.0%",0.91063092493698,1.04936907506302,"98.0%","0.0%",-0.0693690750630196,0.0693690750630196,FALSE,0.138738150126039,"Asia",FALSE,2820623,0,-195664,195664,56412,56412
"Barbados","BRB","Latin America & Caribbean","HIC","Never Gavi","90.6%",0.826721971236563,0.984278028763437,"85.0%","-5.5%",-0.134278028763437,0.0232780287634373,FALSE,0.157556057526875,"Americas",FALSE,3016,167,-70,404,285,452
"Belarus","BLR","Eastern Europe & Central Asia","UMIC","Never Gavi","95.5%",0.743953312947745,1.16604668705225,"97.0%","1.5%",-0.196046687052254,0.226046687052255,FALSE,0.42209337410451,"Europe",FALSE,107637,-1614,-24330,21101,4843,3229
"Belize","BLZ","Latin America & Caribbean","LMIC","Never Gavi","95.0%",0.896042410895225,1.00395758910477,"79.0%","-16.0%",-0.213957589104775,-0.106042410895224,TRUE,0.10791517820955,"Americas",FALSE,7962,1273,844,1703,398,1672
"Benin","BEN","West & Central Africa","LMIC","Initial self-financing","75.7%",0.703759111149605,0.810240888850503,"72.0%","-3.7%",-0.0902408888505031,0.0162408888503951,FALSE,0.106481777700898,"Africa",FALSE,405641,15008,-6587,36605,98570,113579
"Bhutan","BTN","South Asia","LMIC","Fully self-financing","97.0%",0.9043749388819,1.0356250611181,"95.0%","-2.0%",-0.0856250611180998,0.0456250611180997,FALSE,0.131250122236199,"Asia",FALSE,12608,252,-575,1079,378,630
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","LMIC","Fully self-financing","76.6%",0.67764117508634,0.855322502563721,"68.0%","-8.6%",-0.175322502563721,0.00235882491365991,FALSE,0.177681327477381,"Americas",FALSE,240642,20811,-567,42189,56194,77005
"Botswana","BWA","Eastern & Southern Africa","UMIC","Never Gavi","95.0%",0.943626096836859,0.956373903163141,"95.0%","0.0%",-0.00637390316314068,0.00637390316314068,FALSE,0.0127478063262814,"Africa",FALSE,53898,0,-343,343,2694,2694
"Brazil","BRA","Latin America & Caribbean","UMIC","Never Gavi","63.4%",0.546019278109886,0.721877172645916,"77.0%","13.6%",0.0481228273540838,0.223980721890114,TRUE,0.17585789453603,"Americas",TRUE,2825032,-384350,-632752,-135948,1034107,649757
"Brunei Darussalam","BRN","East Asia & Pacific","HIC","Never Gavi","98.4%",0.947079994304383,1.02164878979637,"99.0%","0.6%",-0.0316487897963698,0.0429200056956165,FALSE,0.0745687954919863,"Asia",FALSE,6110,-34,-262,193,95,61
"Bulgaria","BGR","Eastern Europe & Central Asia","UMIC","Never Gavi","93.0%",0.89079848988429,0.96920151011571,"91.0%","-2.0%",-0.0592015101157101,0.01920151011571,FALSE,0.0784030202314201,"Europe",FALSE,60653,1213,-1164,3590,4245,5458
"Burkina Faso","BFA","West & Central Africa","LIC","Initial self-financing","91.0%",0.840700995012432,0.979299004987567,"91.0%","0.0%",-0.0692990049875674,0.0692990049875676,FALSE,0.138598009975135,"Africa",FALSE,736290,0,-51024,51024,66266,66266
"Burundi","BDI","Eastern & Southern Africa","LIC","Initial self-financing","93.0%",0.871199980144535,0.988800019855466,"93.0%","0.0%",-0.0588000198554655,0.0588000198554655,FALSE,0.117600039710931,"Africa",FALSE,431981,0,-25400,25400,30238,30238
"Cabo Verde","CPV","West & Central Africa","LMIC","Never Gavi","95.4%",0.904112701601977,1.00355853353544,"93.0%","-2.4%",-0.0735585335354388,0.0258872983980232,FALSE,0.099445831933462,"Africa",FALSE,10197,243,-263,750,470,713
"Cambodia","KHM","East Asia & Pacific","LMIC","Preparatory transition phase","92.0%",0.802144254501716,1.03785574549828,"92.0%","0.0%",-0.117855745498284,0.117855745498284,FALSE,0.235711490996567,"Asia",FALSE,352521,0,-41546,41546,28201,28201
"Cameroon","CMR","West & Central Africa","LMIC","Preparatory transition phase","67.4%",0.594711688813298,0.752549729476133,"69.0%","1.6%",-0.0625497294761327,0.0952883111867019,FALSE,0.157838040662835,"Africa",FALSE,862364,-14116,-82173,53940,281449,267332
"Canada","CAN","North America","HIC","Never Gavi","90.9%",0.879701945520536,0.938244354639273,"91.0%","0.1%",-0.0282443546392726,0.0302980544794644,FALSE,0.058542409118737,"Americas",FALSE,385184,-395,-11670,10879,35062,34666
"Central African Republic","CAF","West & Central Africa","LIC","Initial self-financing","43.8%",0.313683585460941,0.563316414538742,"42.0%","-1.8%",-0.143316414538742,0.106316414539059,FALSE,0.249632829077801,"Africa",FALSE,156219,2890,-16608,22388,87716,90607
"Chad","TCD","West & Central Africa","LIC","Initial self-financing","50.0%",0.357951437481445,0.642048562518555,"52.0%","2.0%",-0.122048562518555,0.162048562518555,FALSE,0.28409712503711,"Africa",FALSE,629696,-12593,-102041,76853,314848,302254
"Chile","CHL","Latin America & Caribbean","HIC","Never Gavi","94.6%",0.906593334021367,0.985151048056067,"93.0%","-1.6%",-0.055151048056067,0.0234066659786326,FALSE,0.0785577140346996,"Americas",FALSE,225603,3580,-5280,12442,12211,15792
"China","CHN","East Asia & Pacific","UMIC","Never Gavi","99.0%",0.965465425151795,1.0292714169532,"99.0%","0.0%",-0.0392714169532031,0.0245345748482053,FALSE,0.0638059918014084,"Asia",FALSE,16086657,0,-394679,631745,160866,160866
"Colombia","COL","Latin America & Caribbean","UMIC","Never Gavi","92.8%",0.860520709252063,0.994526005131601,"88.0%","-4.8%",-0.114526005131601,0.0194792907479372,FALSE,0.134005295879539,"Americas",FALSE,718632,34151,-13998,82302,52084,86235
"Comoros","COM","Eastern & Southern Africa","LMIC","Initial self-financing","91.0%",0.783857913968004,1.036142086032,"87.0%","-4.0%",-0.166142086031996,0.0861420860319962,FALSE,0.252284172063993,"Africa",FALSE,25562,1022,-2201,4246,2300,3323
"Congo","COG","West & Central Africa","LMIC","Initial self-financing","79.0%",0.64625360236836,0.93374639763164,"73.0%","-6.0%",-0.20374639763164,0.0837463976316404,FALSE,0.287492795263281,"Africa",FALSE,170899,10253,-14312,34820,35888,46142
