"country","iso_code","region","income_group","gavi_status","predicts_2020","actuals_2020","cov_delta"
"Afghanistan","AFG","South Asia","LIC","Gavi - ISF",0.736077137907447,0.7,-0.0360771379074472
"Andorra","AND","Western Europe","HIC","Never Gavi",0.982362935189194,0.99,0.00763706481080573
"Angola","AGO","Eastern & Southern Africa","LMIC","Gavi - FSF",0.57,0.51,-0.0599999999999999
"Antigua and Barbuda","ATG","Latin America & Caribbean","HIC","Never Gavi",0.961364931050415,0.96,-0.00136493105041491
"Argentina","ARG","Latin America & Caribbean","UMIC","Never Gavi",0.853462021279641,0.74,-0.113462021279641
"Australia","AUS","East Asia & Pacific","HIC","Never Gavi",0.95,0.95,0
"Austria","AUT","Western Europe","HIC","Never Gavi",0.85,0.85,0
"Azerbaijan","AZE","Eastern Europe & Central Asia","UMIC","Gavi - FSF",0.949473684210536,0.79,-0.159473684210536
"Bahrain","BHR","Middle East & North Africa","HIC","Never Gavi",0.9815,0.98,-0.00149999999999961
"Bangladesh","BGD","South Asia","LMIC","Gavi - PT",0.98,0.98,0
"Barbados","BRB","Latin America & Caribbean","HIC","Never Gavi",0.9055,0.85,-0.0555
"Belarus","BLR","Eastern Europe & Central Asia","UMIC","Never Gavi",0.954999999999999,0.97,0.0150000000000006
"Belize","BLZ","Latin America & Caribbean","LMIC","Never Gavi",0.95,0.79,-0.16
"Benin","BEN","West & Central Africa","LMIC","Gavi - ISF",0.757000000000054,0.72,-0.037000000000054
"Bhutan","BTN","South Asia","LMIC","Gavi - FSF",0.97,0.95,-0.02
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","LMIC","Gavi - FSF",0.76648183882503,0.68,-0.0864818388250304
"Botswana","BWA","Eastern & Southern Africa","UMIC","Never Gavi",0.95,0.95,0
"Brunei Darussalam","BRN","East Asia & Pacific","HIC","Never Gavi",0.984364392050377,0.99,0.00563560794962337
"Bulgaria","BGR","Eastern Europe & Central Asia","UMIC","Never Gavi",0.93,0.91,-0.02
"Burkina Faso","BFA","West & Central Africa","LIC","Gavi - ISF",0.91,0.91,1.11022302462516e-16
"Burundi","BDI","Eastern & Southern Africa","LIC","Gavi - ISF",0.93,0.93,0
"Cabo Verde","CPV","West & Central Africa","LMIC","Never Gavi",0.953835617568708,0.93,-0.0238356175687079
"Cambodia","KHM","East Asia & Pacific","LMIC","Gavi - PT",0.92,0.92,0
"Cameroon","CMR","West & Central Africa","LMIC","Gavi - PT",0.673630709144715,0.69,0.0163692908552846
"Canada","CAN","North America","HIC","Never Gavi",0.908973150079904,0.91,0.00102684992009594
"Central African Republic","CAF","West & Central Africa","LIC","Gavi - ISF",0.438499999999842,0.42,-0.0184999999998418
"Chad","TCD","West & Central Africa","LIC","Gavi - ISF",0.5,0.52,0.02
"Chile","CHL","Latin America & Caribbean","HIC","Never Gavi",0.945872191038717,0.93,-0.0158721910387172
"China","CHN","East Asia & Pacific","UMIC","Never Gavi",0.99,0.99,0
"Colombia","COL","Latin America & Caribbean","UMIC","Never Gavi",0.927523357191832,0.88,-0.0475233571918321
"Comoros","COM","Eastern & Southern Africa","LMIC","Gavi - ISF",0.91,0.87,-0.04
"Congo","COG","West & Central Africa","LMIC","Gavi - ISF",0.79,0.73,-0.0600000000000001
"Costa Rica","CRI","Latin America & Caribbean","UMIC","Never Gavi",0.95,0.95,0
"Cote d'Ivoire","CIV","West & Central Africa","LMIC","Gavi - PT",0.84,0.8,-0.0399999999999999
"Cuba","CUB","Latin America & Caribbean","UMIC","Gavi - FSF",0.99,0.99,0
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","LIC","Gavi - ISF",0.97,0.97,1.11022302462516e-16
"Democratic Republic of the Congo","COD","West & Central Africa","LIC","Gavi - ISF",0.57,0.57,0
"Denmark","DNK","Western Europe","HIC","Never Gavi",0.965550359545163,0.97,0.00444964045483676
"Djibouti","DJI","Eastern & Southern Africa","LMIC","Gavi - PT",0.85,0.7,-0.15
"Dominica","DMA","Latin America & Caribbean","UMIC","Never Gavi",0.9725,0.97,-0.00249999999999972
"Dominican Republic","DOM","Latin America & Caribbean","UMIC","Never Gavi",0.889573064145396,0.82,-0.0695730641453963
"Ecuador","ECU","Latin America & Caribbean","UMIC","Never Gavi",0.852239524825842,0.7,-0.152239524825842
"Egypt","EGY","Middle East & North Africa","LMIC","Never Gavi",0.945972593840127,0.94,-0.00597259384012749
"Equatorial Guinea","GNQ","West & Central Africa","UMIC","Never Gavi",0.53,0.53,0
