unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ROSA,AFG,Afghanistan,DTP1,74,78,75,81,75,73,73,73,76,78,78,72,72,75,76,75,76,72,66,62,59,48,52,52,48,56,44,33,41,45,47,50,58,60,50,32,37,39,24,24,,22
ECAR,ALB,Albania,DTP1,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,97,98,97,98,98,99,99,98,98,99,98,97,92,97,97,98,98,98,98,98,98,98,97,97
MENA,DZA,Algeria,DTP1,96,96,96,96,95,96,99,99,99,99,99,99,98,97,98,98,94,93,93,93,92,95,92,94,96,96,96,95,96,96,96,96,95,93,92,92,88,,,,,
Non-programme,AND,Andorra,DTP1,99,99,99,99,99,99,99,99,96,99,99,99,99,99,96,96,99,99,99,99,96,99,96,96,96,,,,,,,,,,,,,,,,,
ESAR,AGO,Angola,DTP1,57,61,67,74,68,74,72,69,67,66,68,68,68,69,69,66,62,75,68,65,57,44,51,59,66,53,48,52,55,45,51,48,41,33,31,31,28,28,25,,,
LACR,ATG,Antigua and Barbuda,DTP1,93,98,98,99,96,97,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,99,99,99,99,99,99,99,99,97,99,99,98,98,98,99,97,99,92,92,77
LACR,ARG,Argentina,DTP1,82,79,87,91,91,93,94,98,94,94,94,95,94,97,94,93,99,99,96,96,96,96,96,96,96,94,95,94,93,93,93,95,93,93,91,86,86,83,82,80,73,69
ECAR,ARM,Armenia,DTP1,96,96,96,96,97,97,97,97,97,98,98,98,97,96,96,95,96,97,98,98,98,97,97,93,96,95,98,95,95,95,,,,,,,,,,,,
Non-programme,AUS,Australia,DTP1,98,98,98,98,98,98,97,92,92,92,92,97,97,97,97,97,97,97,97,97,97,96,96,84,91,95,95,96,96,97,97,98,97,96,93,91,87,83,78,72,65,58
Non-programme,AUT,Austria,DTP1,95,95,93,90,94,95,97,99,98,97,96,95,94,94,95,86,99,99,90,99,99,99,93,94,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
ECAR,AZE,Azerbaijan,DTP1,92,85,96,96,97,98,97,96,95,94,94,94,90,90,87,86,81,84,83,82,83,83,83,81,78,82,79,77,65,64,,,,,,,,,,,,
LACR,BHS,Bahamas,DTP1,79,97,91,94,98,95,99,96,99,99,99,99,99,99,98,95,99,99,99,99,99,99,96,96,95,95,95,97,97,97,97,95,95,95,95,95,95,87,85,87,78,61
MENA,BHR,Bahrain,DTP1,99,99,99,99,98,99,98,98,99,99,99,99,98,98,97,99,99,99,99,99,99,98,99,98,98,96,98,99,97,97,99,97,98,98,98,97,96,95,94,92,91,89
ROSA,BGD,Bangladesh,DTP1,99,99,99,99,99,99,99,99,98,97,99,98,99,99,98,97,97,99,93,95,94,92,91,89,92,91,87,94,79,86,88,86,73,39,29,22,20,18,18,18,18,
LACR,BRB,Barbados,DTP1,83,86,92,96,90,99,99,98,97,96,95,94,93,85,93,94,97,97,91,92,92,93,95,96,98,95,97,96,95,96,94,97,92,91,92,92,94,94,87,83,80,82
ECAR,BLR,Belarus,DTP1,98,97,98,98,97,99,99,97,99,98,99,99,98,98,99,99,99,99,74,99,99,99,99,99,98,98,98,97,97,96,,,,,,,,,,,,
Non-programme,BEL,Belgium,DTP1,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,97,97,97,97,97,96,95,98,97,98,98,98,97,97,97,93,98,98,98,98,98,98,98,98
LACR,BLZ,Belize,DTP1,83,79,99,97,89,98,97,96,96,99,98,99,99,98,98,98,98,98,98,97,97,96,96,95,95,95,94,96,96,96,94,97,88,90,87,98,81,77,81,74,77,72
WCAR,BEN,Benin,DTP1,84,83,84,84,84,84,82,84,86,89,85,87,89,91,94,89,84,85,86,87,88,89,88,87,86,86,82,89,87,86,83,86,68,51,46,36,36,,,,,
ROSA,BTN,Bhutan,DTP1,99,96,99,98,99,99,99,99,97,97,98,94,97,97,98,97,97,92,96,95,96,96,95,96,95,95,95,95,92,95,97,98,91,88,84,77,66,53,39,37,35,25
LACR,BOL,Bolivia (Plurinational State of),DTP1,75,79,81,89,91,93,97,92,87,97,98,97,97,96,85,87,93,88,96,94,91,92,92,86,80,82,84,80,76,70,68,66,76,53,60,67,58,25,31,33,35,32
ECAR,BIH,Bosnia and Herzegovina,DTP1,89,89,89,89,92,90,89,92,94,95,94,95,95,95,96,94,95,93,93,86,94,90,90,91,92,86,78,94,63,80,,,,,,,,,,,,
ESAR,BWA,Botswana,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,96,93,98,98,98,97,97,93,89
LACR,BRA,Brazil,DTP1,74,88,79,87,99,95,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,75,85,50,91,88,92,86,79,80,80,80,86,87,82,79,72,62
EAPR,BRN,Brunei Darussalam,DTP1,99,99,99,99,99,99,99,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,96,95,95,96,98,95,99,97,96
ECAR,BGR,Bulgaria,DTP1,92,94,96,94,96,94,93,90,96,96,96,96,96,97,96,97,97,95,96,97,95,95,96,96,97,98,98,97,98,98,99,99,99,99,99,99,99,99,99,99,99,98
WCAR,BFA,Burkina Faso,DTP1,95,95,95,95,95,95,95,95,94,94,93,93,93,97,92,91,91,90,90,89,93,97,83,77,78,78,79,79,79,79,86,92,81,74,53,48,35,,,,,
ESAR,BDI,Burundi,DTP1,96,98,97,94,94,97,97,98,98,98,99,99,99,98,99,99,96,95,93,91,90,88,86,86,86,86,86,72,84,93,94,95,94,68,87,76,61,51,69,58,61,
WCAR,CPV,Cabo Verde,DTP1,93,93,96,99,97,96,97,99,93,98,99,99,99,99,99,98,97,96,95,95,94,94,93,93,92,90,90,95,96,96,95,96,99,96,97,77,64,56,47,,,
EAPR,KHM,Cambodia,DTP1,94,94,94,94,94,94,94,94,94,97,95,93,99,95,87,85,85,92,74,60,65,78,73,78,62,59,55,53,51,48,63,63,72,70,62,62,47,40,,,,
WCAR,CMR,Cameroon,DTP1,76,77,75,76,83,83,86,90,95,94,90,92,88,93,90,87,85,80,79,75,70,66,69,71,72,71,71,63,62,62,67,70,73,68,63,58,52,46,44,31,18,
Non-programme,CAN,Canada,DTP1,94,94,94,94,94,95,95,95,95,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,98,97,97,96,96,96,96,95,95,95,,,,,,,
WCAR,CAF,Central African Republic,DTP1,54,54,54,54,54,54,57,60,35,66,69,67,65,65,65,64,64,64,65,65,65,60,55,61,66,72,77,76,75,75,85,95,84,67,46,42,44,40,39,36,32,35
WCAR,TCD,Chad,DTP1,73,69,65,61,55,55,59,63,58,57,55,55,45,47,50,58,46,35,45,45,44,45,45,47,48,44,41,41,35,31,41,44,44,36,36,31,21,21,18,,,
LACR,CHL,Chile,DTP1,99,98,99,99,98,99,97,99,92,90,94,93,94,96,98,95,92,94,98,98,99,98,97,97,96,97,97,97,96,96,97,98,98,98,97,96,99,99,96,99,99,97
EAPR,CHN,China,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,95,95,95,95,94,94,94,94,94,93,95,96,97,97,98,98,98,91,92,92,90,80,,,
LACR,COL,Colombia,DTP1,90,92,95,92,94,93,93,91,97,91,95,96,97,97,97,98,97,90,94,93,82,91,95,95,94,95,95,95,94,92,94,96,92,90,80,72,82,82,67,51,44,39
