"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Afghanistan","AFG","South Asia","Asia","LIC","Initial self-financing","Gavi-eligible","73.6%",0.667944748829991,0.804209526984904,FALSE,0.136264778154913,"70.0%","-3.6%",0.0320552511700093,-0.104209526984904,FALSE,1157321,347196,305443,41752,-37098,120603
"Albania","ALB","Eastern Europe & Central Asia","Europe","UMIC","Never Gavi","Not eligible","99.0%",0.977814613158256,1.00218538684174,FALSE,0.0243707736834874,"98.0%","-1.0%",0.00218538684174374,-0.0221853868417436,FALSE,32639,652,326,326,-71,724
"Andorra","AND","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.2%",0.95329841273388,1.01142745764451,FALSE,0.058129044910629,"99.0%","0.8%",0.0367015872661202,-0.0214274576445088,FALSE,NA,NA,NA,NA,NA,NA
"Angola","AGO","Eastern & Southern Africa","Africa","LMIC","Fully self-financing","Not eligible","57.0%",0.493427820441531,0.646572179558469,FALSE,0.153144359116938,"51.0%","-6.0%",0.0165721795584689,-0.136572179558469,FALSE,1236834,606048,531838,74210,-20497,168917
"Antigua and Barbuda","ATG","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","96.1%",0.925405214711406,0.997324647389424,FALSE,0.0719194326780175,"96.0%","-0.1%",0.0345947852885938,-0.0373246473894236,FALSE,1450,58,56,1,-50,54
"Argentina","ARG","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","85.3%",0.789474590063481,0.917449452495801,FALSE,0.12797486243232,"74.0%","-11.3%",-0.0494745900634809,-0.177449452495801,TRUE,744894,193672,109155,84517,36853,132181
"Armenia","ARM","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","92.1%",0.890905360784452,0.951909305045483,FALSE,0.0610039442610315,"91.0%","-1.1%",0.0190946392155484,-0.0419093050454831,FALSE,38921,3502,3058,443,-743,1631
"Australia","AUS","East Asia & Pacific","Oceania","HIC","Never Gavi","Not eligible","95.0%",0.935081420482975,0.964918579517025,FALSE,0.0298371590340494,"95.0%","0.0%",0.0149185795170247,-0.0149185795170247,FALSE,317554,15877,15877,0,-4737,4737
"Austria","AUT","Western Europe","Europe","HIC","Never Gavi","Not eligible","85.0%",0.790008558774036,0.909991441225964,FALSE,0.119982882451928,"85.0%","0.0%",0.0599914412259638,-0.0599914412259638,FALSE,89448,13417,13417,0,-5366,5366
"Azerbaijan","AZE","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","94.9%",0.910560459327167,0.988386909093906,FALSE,0.0778264497667391,"79.0%","-15.9%",-0.120560459327167,-0.198386909093906,TRUE,153771,32291,7769,24522,18538,30506
"Bahamas","BHS","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","90.2%",0.861064035651652,0.942111712239889,FALSE,0.0810476765882371,"83.0%","-7.2%",-0.0310640356516517,-0.112111712239889,TRUE,5393,916,530,386,167,604
"Bahrain","BHR","Middle East & North Africa","Asia","HIC","Never Gavi","Not eligible","98.1%",0.965570829770229,0.99742917022977,FALSE,0.0318583404595409,"98.0%","-0.1%",0.0144291702297709,-0.0174291702297701,FALSE,21974,439,406,32,-317,382
"Bangladesh","BGD","South Asia","Asia","LMIC","Preparatory transition phase","Gavi-eligible","98.0%",0.91063092493698,1.04936907506302,FALSE,0.138738150126039,"98.0%","0.0%",0.0693690750630196,-0.0693690750630196,FALSE,2820623,56412,56412,0,-195664,195664
"Barbados","BRB","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","90.6%",0.826721971236563,0.984278028763437,FALSE,0.157556057526875,"85.0%","-5.5%",0.0232780287634373,-0.134278028763437,FALSE,3016,452,285,167,-70,404
"Belarus","BLR","Eastern Europe & Central Asia","Europe","UMIC","Never Gavi","Not eligible","95.5%",0.743953312947745,1.16604668705225,FALSE,0.42209337410451,"97.0%","1.5%",0.226046687052255,-0.196046687052254,FALSE,107637,3229,4843,-1614,-24330,21101
"Belgium","BEL","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.0%",0.96650384099136,0.99349615900864,FALSE,0.0269923180172804,"97.0%","-1.0%",0.0034961590086402,-0.0234961590086402,FALSE,123708,3711,2474,1237,-432,2906
"Belize","BLZ","Latin America & Caribbean","Americas","LMIC","Never Gavi","Not eligible","95.0%",0.896042410895225,1.00395758910477,FALSE,0.10791517820955,"79.0%","-16.0%",-0.106042410895224,-0.213957589104775,TRUE,7962,1672,398,1273,844,1703
"Benin","BEN","West & Central Africa","Africa","LMIC","Initial self-financing","Gavi-eligible","75.7%",0.703759111149605,0.810240888850503,FALSE,0.106481777700898,"72.0%","-3.7%",0.0162408888503951,-0.0902408888505031,FALSE,405641,113579,98570,15008,-6587,36605
"Bhutan","BTN","South Asia","Asia","LMIC","Fully self-financing","Not eligible","97.0%",0.9043749388819,1.0356250611181,FALSE,0.131250122236199,"95.0%","-2.0%",0.0456250611180997,-0.0856250611180998,FALSE,12608,630,378,252,-575,1079
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","Americas","LMIC","Fully self-financing","Not eligible","76.6%",0.67764117508634,0.855322502563721,FALSE,0.177681327477381,"68.0%","-8.6%",0.00235882491365991,-0.175322502563721,FALSE,240642,77005,56194,20811,-567,42189
"Botswana","BWA","Eastern & Southern Africa","Africa","UMIC","Never Gavi","Not eligible","95.0%",0.943626096836859,0.956373903163141,FALSE,0.0127478063262814,"95.0%","0.0%",0.00637390316314068,-0.00637390316314068,FALSE,53898,2694,2694,0,-343,343
"Brazil","BRA","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","63.4%",0.546019278109886,0.721877172645916,TRUE,0.17585789453603,"77.0%","13.6%",0.223980721890114,0.0481228273540838,TRUE,2825032,649757,1034107,-384350,-632752,-135948
"Brunei Darussalam","BRN","East Asia & Pacific","Asia","HIC","Never Gavi","Not eligible","98.4%",0.947079994304383,1.02164878979637,FALSE,0.0745687954919863,"99.0%","0.6%",0.0429200056956165,-0.0316487897963698,FALSE,6110,61,95,-34,-262,193
"Bulgaria","BGR","Eastern Europe & Central Asia","Europe","UMIC","Never Gavi","Not eligible","93.0%",0.89079848988429,0.96920151011571,FALSE,0.0784030202314201,"91.0%","-2.0%",0.01920151011571,-0.0592015101157101,FALSE,60653,5458,4245,1213,-1164,3590
"Burkina Faso","BFA","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","91.0%",0.840700995012432,0.979299004987567,FALSE,0.138598009975135,"91.0%","0.0%",0.0692990049875676,-0.0692990049875674,FALSE,736290,66266,66266,0,-51024,51024
