"country","iso_code","region","income_group","gavi_status","predicts_2020","actuals_2020","cov_delta"
"Afghanistan","AFG","South Asia","LIC","Gavi - ISF","73.6%","70.0%","-3.6%"
"Andorra","AND","Western Europe","HIC","Never Gavi","98.2%","99.0%","0.8%"
"Angola","AGO","Eastern & Southern Africa","LMIC","Gavi - FSF","57.0%","51.0%","-6.0%"
"Antigua and Barbuda","ATG","Latin America & Caribbean","HIC","Never Gavi","96.1%","96.0%","-0.1%"
"Argentina","ARG","Latin America & Caribbean","UMIC","Never Gavi","85.3%","74.0%","-11.3%"
"Australia","AUS","East Asia & Pacific","HIC","Never Gavi","95.0%","95.0%","0.0%"
"Austria","AUT","Western Europe","HIC","Never Gavi","85.0%","85.0%","0.0%"
"Azerbaijan","AZE","Eastern Europe & Central Asia","UMIC","Gavi - FSF","94.9%","79.0%","-15.9%"
"Bahrain","BHR","Middle East & North Africa","HIC","Never Gavi","98.1%","98.0%","-0.1%"
"Bangladesh","BGD","South Asia","LMIC","Gavi - PT","98.0%","98.0%","0.0%"
"Barbados","BRB","Latin America & Caribbean","HIC","Never Gavi","90.6%","85.0%","-5.5%"
"Belarus","BLR","Eastern Europe & Central Asia","UMIC","Never Gavi","95.5%","97.0%","1.5%"
"Belize","BLZ","Latin America & Caribbean","LMIC","Never Gavi","95.0%","79.0%","-16.0%"
"Benin","BEN","West & Central Africa","LMIC","Gavi - ISF","75.7%","72.0%","-3.7%"
"Bhutan","BTN","South Asia","LMIC","Gavi - FSF","97.0%","95.0%","-2.0%"
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","LMIC","Gavi - FSF","76.6%","68.0%","-8.6%"
"Botswana","BWA","Eastern & Southern Africa","UMIC","Never Gavi","95.0%","95.0%","0.0%"
"Brunei Darussalam","BRN","East Asia & Pacific","HIC","Never Gavi","98.4%","99.0%","0.6%"
"Bulgaria","BGR","Eastern Europe & Central Asia","UMIC","Never Gavi","93.0%","91.0%","-2.0%"
"Burkina Faso","BFA","West & Central Africa","LIC","Gavi - ISF","91.0%","91.0%","0.0%"
"Burundi","BDI","Eastern & Southern Africa","LIC","Gavi - ISF","93.0%","93.0%","0.0%"
"Cabo Verde","CPV","West & Central Africa","LMIC","Never Gavi","95.4%","93.0%","-2.4%"
"Cambodia","KHM","East Asia & Pacific","LMIC","Gavi - PT","92.0%","92.0%","0.0%"
"Cameroon","CMR","West & Central Africa","LMIC","Gavi - PT","67.4%","69.0%","1.6%"
"Canada","CAN","North America","HIC","Never Gavi","90.9%","91.0%","0.1%"
"Central African Republic","CAF","West & Central Africa","LIC","Gavi - ISF","43.8%","42.0%","-1.8%"
"Chad","TCD","West & Central Africa","LIC","Gavi - ISF","50.0%","52.0%","2.0%"
"Chile","CHL","Latin America & Caribbean","HIC","Never Gavi","94.6%","93.0%","-1.6%"
"China","CHN","East Asia & Pacific","UMIC","Never Gavi","99.0%","99.0%","0.0%"
"Colombia","COL","Latin America & Caribbean","UMIC","Never Gavi","92.8%","88.0%","-4.8%"
"Comoros","COM","Eastern & Southern Africa","LMIC","Gavi - ISF","91.0%","87.0%","-4.0%"
"Congo","COG","West & Central Africa","LMIC","Gavi - ISF","79.0%","73.0%","-6.0%"
"Costa Rica","CRI","Latin America & Caribbean","UMIC","Never Gavi","95.0%","95.0%","0.0%"
"Cote d'Ivoire","CIV","West & Central Africa","LMIC","Gavi - PT","84.0%","80.0%","-4.0%"
"Cuba","CUB","Latin America & Caribbean","UMIC","Gavi - FSF","99.0%","99.0%","0.0%"
