"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Afghanistan","AFG","South Asia","Asia","LIC","Initial self-financing","Gavi-eligible","75.0%",0.66770088074754,0.83229911925246,FALSE,0.164598238504919,"78.0%","3.0%",0.11229911925246,-0.0522991192524596,FALSE,1157321,254610,289330,-34719,-129966,60526
"Albania","ALB","Eastern Europe & Central Asia","Europe","UMIC","Never Gavi","Not eligible","99.0%",0.983348365706148,1.00289434016745,FALSE,0.0195459744613015,"99.0%","0.0%",0.00665163429385218,-0.0128943401674493,FALSE,32639,326,326,0,-217,420
"Andorra","AND","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.4%",0.959869432571895,1.00813056742801,FALSE,0.0482611348561117,"99.0%","0.6%",0.0301305674281047,-0.018130567428007,FALSE,NA,NA,NA,NA,NA,NA
"Angola","AGO","Eastern & Southern Africa","Africa","LMIC","Fully self-financing","Not eligible","67.0%",0.557229038935711,0.782770961064289,FALSE,0.225541922128578,"61.0%","-6.0%",0.0527709610642888,-0.172770961064289,FALSE,1236834,482365,408155,74210,-65268,213688
"Antigua and Barbuda","ATG","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","98.6%",0.969912955047962,1.00208704495204,FALSE,0.0321740899040746,"98.0%","-0.6%",0.0100870449520376,-0.0220870449520369,FALSE,1450,29,20,8,-14,32
"Argentina","ARG","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","87.0%",0.820947450170268,0.919052549829732,FALSE,0.0981050996594646,"79.0%","-8.0%",-0.0309474501702677,-0.129052549829732,TRUE,744894,156427,96836,59591,23052,96130
"Armenia","ARM","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","96.1%",0.950882186899905,0.970894946004707,FALSE,0.0200127591048018,"96.0%","-0.1%",0.00911781310009507,-0.0108949460047068,FALSE,38921,1556,1522,34,-354,424
"Australia","AUS","East Asia & Pacific","Oceania","HIC","Never Gavi","Not eligible","97.5%",0.943623257061043,1.00579111756679,FALSE,0.0621678605057501,"98.0%","0.5%",0.0363767429389568,-0.0257911175667933,FALSE,317554,6351,8031,-1680,-11551,8190
"Austria","AUT","Western Europe","Europe","HIC","Never Gavi","Not eligible","95.3%",0.878376474559035,1.02662352544112,FALSE,0.148247050882081,"90.0%","-5.3%",0.0216235254409652,-0.126623525441116,FALSE,89448,8944,4248,4696,-1934,11326
"Azerbaijan","AZE","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","96.7%",0.931024828038445,1.00265938248768,FALSE,0.0716345544492388,"85.0%","-11.7%",-0.0810248280384454,-0.152659382487684,TRUE,153771,23065,5098,17966,12459,23474
