"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Afghanistan","AFG","South Asia","Low income","Initial self-financing",0.736077137907447,0.667944748829991,0.804209526984904,0.7,-0.0360771379074472,-0.104209526984904,0.0320552511700093,FALSE,0.136264778154913
"Andorra","AND","Western Europe","High income","Never Gavi",0.982362935189194,0.95329841273388,1.01142745764451,0.99,0.00763706481080573,-0.0214274576445088,0.0367015872661202,FALSE,0.058129044910629
"Angola","AGO","Eastern & Southern Africa","Lower middle income","Fully self-financing",0.57,0.493427820441531,0.646572179558469,0.51,-0.0599999999999999,-0.136572179558469,0.0165721795584689,FALSE,0.153144359116938
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","Never Gavi",0.961364931050415,0.925405214711406,0.997324647389424,0.96,-0.00136493105041491,-0.0373246473894236,0.0345947852885938,FALSE,0.0719194326780175
"Argentina","ARG","Latin America & Caribbean","Upper middle income","Never Gavi",0.853462021279641,0.789474590063481,0.917449452495801,0.74,-0.113462021279641,-0.177449452495801,-0.0494745900634809,TRUE,0.12797486243232
"Australia","AUS","East Asia & Pacific","High income","Never Gavi",0.95,0.935081420482975,0.964918579517025,0.95,0,-0.0149185795170247,0.0149185795170247,FALSE,0.0298371590340494
"Austria","AUT","Western Europe","High income","Never Gavi",0.85,0.790008558774036,0.909991441225964,0.85,0,-0.0599914412259638,0.0599914412259638,FALSE,0.119982882451928
"Azerbaijan","AZE","Eastern Europe & Central Asia","Upper middle income","Fully self-financing",0.949473684210536,0.910560459327167,0.988386909093906,0.79,-0.159473684210536,-0.198386909093906,-0.120560459327167,TRUE,0.0778264497667391
"Bahrain","BHR","Middle East & North Africa","High income","Never Gavi",0.9815,0.965570829770229,0.99742917022977,0.98,-0.00149999999999961,-0.0174291702297701,0.0144291702297709,FALSE,0.0318583404595409
"Bangladesh","BGD","South Asia","Lower middle income","Preparatory transition phase",0.98,0.91063092493698,1.04936907506302,0.98,0,-0.0693690750630196,0.0693690750630196,FALSE,0.138738150126039
"Barbados","BRB","Latin America & Caribbean","High income","Never Gavi",0.9055,0.826721971236563,0.984278028763437,0.85,-0.0555,-0.134278028763437,0.0232780287634373,FALSE,0.157556057526875
"Belarus","BLR","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.954999999999999,0.743953312947745,1.16604668705225,0.97,0.0150000000000006,-0.196046687052254,0.226046687052255,FALSE,0.42209337410451
"Belize","BLZ","Latin America & Caribbean","Lower middle income","Never Gavi",0.95,0.896042410895225,1.00395758910477,0.79,-0.16,-0.213957589104775,-0.106042410895224,TRUE,0.10791517820955
"Benin","BEN","West & Central Africa","Lower middle income","Initial self-financing",0.757000000000054,0.703759111149605,0.810240888850503,0.72,-0.037000000000054,-0.0902408888505031,0.0162408888503951,FALSE,0.106481777700898
"Bhutan","BTN","South Asia","Lower middle income","Fully self-financing",0.97,0.9043749388819,1.0356250611181,0.95,-0.02,-0.0856250611180998,0.0456250611180997,FALSE,0.131250122236199
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","Lower middle income","Fully self-financing",0.76648183882503,0.67764117508634,0.855322502563721,0.68,-0.0864818388250304,-0.175322502563721,0.00235882491365991,FALSE,0.177681327477381
"Botswana","BWA","Eastern & Southern Africa","Upper middle income","Never Gavi",0.95,0.943626096836859,0.956373903163141,0.95,0,-0.00637390316314068,0.00637390316314068,FALSE,0.0127478063262814
