Country,ISO code,UNICEF Region (unused),UN region,Income group,Gavi eligibility status,Gavi eligibility (binary),ARIMA modelled expected 2020 coverage (mean),ARIMA modelled expected coverage (max 95% CI),ARIMA modelled expected coverage (min 95% CI),ARIMA forecast unreliable,ARIMA coverage 95% CI,WUENIC reported 2020 coverage,Coverage delta,Coverage delta (max 95% CI),Coverage delta (min 95% CI),95% confident actuals outside expected, Surviving infants , Total missed children , Expected missed children , Additional missed children (mean) , Additional missed children (max 95% CI) , Additional missed children (min 95% CI) 
Afghanistan,AFG,South Asia,Asia,LIC,Initial self-financing,Gavi-eligible,73.6%,66.8%,80.4%,FALSE,13.6%,70.0%,-3.6%,3.2%,-10.4%,FALSE," 1,157,321 "," 347,196 "," 305,443 "," 41,752 "," (37,098)"," 120,603 "
Andorra,AND,Western Europe,Europe,HIC,Never Gavi,Not eligible,98.2%,95.3%,101.1%,FALSE,5.8%,99.0%,0.8%,3.7%,-2.1%,FALSE, NA , NA , NA , NA , NA , NA 
Angola,AGO,Eastern & Southern Africa,Africa,LMIC,Fully self-financing,Not eligible,57.0%,49.3%,64.7%,FALSE,15.3%,51.0%,-6.0%,1.7%,-13.7%,FALSE," 1,236,834 "," 606,048 "," 531,838 "," 74,210 "," (20,497)"," 168,917 "
Antigua and Barbuda,ATG,Latin America & Caribbean,Americas,HIC,Never Gavi,Not eligible,96.1%,92.5%,99.7%,FALSE,7.2%,96.0%,-0.1%,3.5%,-3.7%,FALSE," 1,450 ", 58 , 56 , 1 , (50), 54 
Argentina,ARG,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,85.3%,78.9%,91.7%,FALSE,12.8%,74.0%,-11.3%,-4.9%,-17.7%,TRUE," 744,894 "," 193,672 "," 109,155 "," 84,517 "," 36,853 "," 132,181 "
Australia,AUS,East Asia & Pacific,Oceania,HIC,Never Gavi,Not eligible,95.0%,93.5%,96.5%,FALSE,3.0%,95.0%,0.0%,1.5%,-1.5%,FALSE," 317,554 "," 15,877 "," 15,877 ", -   ," (4,737)"," 4,737 "
Austria,AUT,Western Europe,Europe,HIC,Never Gavi,Not eligible,85.0%,79.0%,91.0%,FALSE,12.0%,85.0%,0.0%,6.0%,-6.0%,FALSE," 89,448 "," 13,417 "," 13,417 ", -   ," (5,366)"," 5,366 "
Azerbaijan,AZE,Eastern Europe & Central Asia,Asia,UMIC,Fully self-financing,Not eligible,94.9%,91.1%,98.8%,FALSE,7.8%,79.0%,-15.9%,-12.1%,-19.8%,TRUE," 153,771 "," 32,291 "," 7,769 "," 24,522 "," 18,538 "," 30,506 "
Bahrain,BHR,Middle East & North Africa,Asia,HIC,Never Gavi,Not eligible,98.1%,96.6%,99.7%,FALSE,3.2%,98.0%,-0.1%,1.4%,-1.7%,FALSE," 21,974 ", 439 , 406 , 32 , (317), 382 
Bangladesh,BGD,South Asia,Asia,LMIC,Preparatory transition phase,Gavi-eligible,98.0%,91.1%,104.9%,FALSE,13.9%,98.0%,0.0%,6.9%,-6.9%,FALSE," 2,820,623 "," 56,412 "," 56,412 ", -   ," (195,664)"," 195,664 "
Barbados,BRB,Latin America & Caribbean,Americas,HIC,Never Gavi,Not eligible,90.6%,82.7%,98.4%,FALSE,15.8%,85.0%,-5.5%,2.3%,-13.4%,FALSE," 3,016 ", 452 , 285 , 167 , (70), 404 
Belarus,BLR,Eastern Europe & Central Asia,Europe,UMIC,Never Gavi,Not eligible,95.5%,74.4%,116.6%,FALSE,42.2%,97.0%,1.5%,22.6%,-19.6%,FALSE," 107,637 "," 3,229 "," 4,843 "," (1,614)"," (24,330)"," 21,101 "
Belize,BLZ,Latin America & Caribbean,Americas,LMIC,Never Gavi,Not eligible,95.0%,89.6%,100.4%,FALSE,10.8%,79.0%,-16.0%,-10.6%,-21.4%,TRUE," 7,962 "," 1,672 ", 398 ," 1,273 ", 844 ," 1,703 "
Benin,BEN,West & Central Africa,Africa,LMIC,Initial self-financing,Gavi-eligible,75.7%,70.4%,81.0%,FALSE,10.6%,72.0%,-3.7%,1.6%,-9.0%,FALSE," 405,641 "," 113,579 "," 98,570 "," 15,008 "," (6,587)"," 36,605 "
Bhutan,BTN,South Asia,Asia,LMIC,Fully self-financing,Not eligible,97.0%,90.4%,103.6%,FALSE,13.1%,95.0%,-2.0%,4.6%,-8.6%,FALSE," 12,608 ", 630 , 378 , 252 , (575)," 1,079 "
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,Americas,LMIC,Fully self-financing,Not eligible,76.6%,67.8%,85.5%,FALSE,17.8%,68.0%,-8.6%,0.2%,-17.5%,FALSE," 240,642 "," 77,005 "," 56,194 "," 20,811 ", (567)," 42,189 "
Botswana,BWA,Eastern & Southern Africa,Africa,UMIC,Never Gavi,Not eligible,95.0%,94.4%,95.6%,FALSE,1.3%,95.0%,0.0%,0.6%,-0.6%,FALSE," 53,898 "," 2,694 "," 2,694 ", -   , (343), 343 
Brazil,BRA,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,63.4%,54.6%,72.2%,TRUE,17.6%,77.0%,13.6%,22.4%,4.8%,TRUE," 2,825,032 "," 649,757 "," 1,034,107 "," (384,350)"," (632,752)"," (135,948)"
Brunei Darussalam,BRN,East Asia & Pacific,Asia,HIC,Never Gavi,Not eligible,98.4%,94.7%,102.2%,FALSE,7.5%,99.0%,0.6%,4.3%,-3.2%,FALSE," 6,110 ", 61 , 95 , (34), (262), 193 
Bulgaria,BGR,Eastern Europe & Central Asia,Europe,UMIC,Never Gavi,Not eligible,93.0%,89.1%,96.9%,FALSE,7.8%,91.0%,-2.0%,1.9%,-5.9%,FALSE," 60,653 "," 5,458 "," 4,245 "," 1,213 "," (1,164)"," 3,590 "
Burkina Faso,BFA,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,91.0%,84.1%,97.9%,FALSE,13.9%,91.0%,0.0%,6.9%,-6.9%,FALSE," 736,290 "," 66,266 "," 66,266 ", -   ," (51,024)"," 51,024 "
Burundi,BDI,Eastern & Southern Africa,Africa,LIC,Initial self-financing,Gavi-eligible,93.0%,87.1%,98.9%,FALSE,11.8%,93.0%,0.0%,5.9%,-5.9%,FALSE," 431,981 "," 30,238 "," 30,238 ", -   ," (25,400)"," 25,400 "
Cabo Verde,CPV,West & Central Africa,Africa,LMIC,Never Gavi,Not eligible,95.4%,90.4%,100.4%,FALSE,9.9%,93.0%,-2.4%,2.6%,-7.4%,FALSE," 10,197 ", 713 , 470 , 243 , (263), 750 
Cambodia,KHM,East Asia & Pacific,Asia,LMIC,Preparatory transition phase,Gavi-eligible,92.0%,80.2%,103.8%,FALSE,23.6%,92.0%,0.0%,11.8%,-11.8%,FALSE," 352,521 "," 28,201 "," 28,201 ", -   ," (41,546)"," 41,546 "
Cameroon,CMR,West & Central Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,67.4%,59.5%,75.3%,FALSE,15.8%,69.0%,1.6%,9.5%,-6.3%,FALSE," 862,364 "," 267,332 "," 281,449 "," (14,116)"," (82,173)"," 53,940 "
Canada,CAN,North America,Americas,HIC,Never Gavi,Not eligible,90.9%,88.0%,93.8%,FALSE,5.9%,91.0%,0.1%,3.0%,-2.8%,FALSE," 385,184 "," 34,666 "," 35,062 ", (395)," (11,670)"," 10,879 "
Central African Republic,CAF,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,43.8%,31.4%,56.3%,FALSE,25.0%,42.0%,-1.8%,10.6%,-14.3%,FALSE," 156,219 "," 90,607 "," 87,716 "," 2,890 "," (16,608)"," 22,388 "
Chad,TCD,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,50.0%,35.8%,64.2%,FALSE,28.4%,52.0%,2.0%,16.2%,-12.2%,FALSE," 629,696 "," 302,254 "," 314,848 "," (12,593)"," (102,041)"," 76,853 "
Chile,CHL,Latin America & Caribbean,Americas,HIC,Never Gavi,Not eligible,94.6%,90.7%,98.5%,FALSE,7.9%,93.0%,-1.6%,2.3%,-5.5%,FALSE," 225,603 "," 15,792 "," 12,211 "," 3,580 "," (5,280)"," 12,442 "
China,CHN,East Asia & Pacific,Asia,UMIC,Never Gavi,Not eligible,99.0%,96.5%,102.9%,FALSE,6.4%,99.0%,0.0%,2.5%,-3.9%,FALSE," 16,086,657 "," 160,866 "," 160,866 ", -   ," (394,679)"," 631,745 "
Colombia,COL,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,92.8%,86.1%,99.5%,FALSE,13.4%,88.0%,-4.8%,1.9%,-11.5%,FALSE," 718,632 "," 86,235 "," 52,084 "," 34,151 "," (13,998)"," 82,302 "
Comoros,COM,Eastern & Southern Africa,Africa,LMIC,Initial self-financing,Gavi-eligible,91.0%,78.4%,103.6%,FALSE,25.2%,87.0%,-4.0%,8.6%,-16.6%,FALSE," 25,562 "," 3,323 "," 2,300 "," 1,022 "," (2,201)"," 4,246 "
Congo,COG,West & Central Africa,Africa,LMIC,Initial self-financing,Gavi-eligible,79.0%,64.6%,93.4%,FALSE,28.7%,73.0%,-6.0%,8.4%,-20.4%,FALSE," 170,899 "," 46,142 "," 35,888 "," 10,253 "," (14,312)"," 34,820 "
Costa Rica,CRI,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,95.0%,88.8%,101.2%,FALSE,12.5%,95.0%,0.0%,6.2%,-6.2%,FALSE," 67,783 "," 3,389 "," 3,389 ", -   ," (4,234)"," 4,234 "
Cote d'Ivoire,CIV,West & Central Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,84.0%,69.0%,99.0%,FALSE,29.9%,80.0%,-4.0%,11.0%,-19.0%,FALSE," 876,019 "," 175,203 "," 140,163 "," 35,040 "," (96,016)"," 166,097 "
Cuba,CUB,Latin America & Caribbean,Americas,UMIC,Fully self-financing,Not eligible,99.0%,84.6%,113.4%,FALSE,28.7%,99.0%,0.0%,14.4%,-14.4%,FALSE," 110,221 "," 1,102 "," 1,102 ", -   ," (15,843)"," 15,843 "
Democratic People's Republic of Korea,PRK,East Asia & Pacific,Asia,LIC,Initial self-financing,Gavi-eligible,97.0%,91.3%,102.7%,FALSE,11.5%,97.0%,0.0%,5.7%,-5.7%,FALSE," 350,814 "," 10,524 "," 10,524 ", -   ," (20,112)"," 20,112 "
Democratic Republic of the Congo,COD,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,57.0%,43.0%,71.0%,FALSE,28.0%,57.0%,0.0%,14.0%,-14.0%,FALSE," 3,374,241 "," 1,450,923 "," 1,450,923 ", -   ," (472,778)"," 472,778 "
Denmark,DNK,Western Europe,Europe,HIC,Never Gavi,Not eligible,96.6%,92.6%,100.5%,FALSE,7.9%,97.0%,0.4%,4.4%,-3.5%,FALSE," 63,072 "," 1,892 "," 2,172 ", (280)," (2,771)"," 2,210 "
Djibouti,DJI,Eastern & Southern Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,85.0%,71.0%,99.0%,FALSE,27.9%,70.0%,-15.0%,-1.0%,-29.0%,TRUE," 19,684 "," 5,905 "," 2,952 "," 2,952 ", 203 ," 5,702 "
Dominica,DMA,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,97.2%,93.1%,101.4%,FALSE,8.2%,97.0%,-0.2%,3.9%,-4.4%,FALSE, NA , NA , NA , NA , NA , NA 
Dominican Republic,DOM,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,89.0%,80.1%,97.8%,FALSE,17.7%,82.0%,-7.0%,1.9%,-15.8%,FALSE," 199,478 "," 35,906 "," 22,027 "," 13,878 "," (3,778)"," 31,534 "
Ecuador,ECU,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,85.2%,80.6%,89.9%,FALSE,9.3%,70.0%,-15.2%,-10.6%,-19.9%,TRUE," 333,092 "," 99,927 "," 49,217 "," 50,709 "," 35,251 "," 66,168 "
Egypt,EGY,Middle East & North Africa,Africa,LMIC,Never Gavi,Not eligible,94.6%,92.1%,97.1%,FALSE,5.0%,94.0%,-0.6%,1.9%,-3.1%,FALSE," 2,526,074 "," 151,564 "," 136,477 "," 15,087 "," (48,606)"," 78,780 "
El Salvador,SLV,Latin America & Caribbean,Americas,LMIC,Never Gavi,Not eligible,87.3%,77.5%,97.2%,TRUE,19.7%,72.0%,-15.3%,-5.5%,-25.2%,TRUE," 114,102 "," 31,948 "," 14,459 "," 17,488 "," 6,265 "," 28,711 "
Equatorial Guinea,GNQ,West & Central Africa,Africa,UMIC,Never Gavi,Not eligible,53.0%,44.3%,61.7%,FALSE,17.4%,53.0%,0.0%,8.7%,-8.7%,FALSE," 42,590 "," 20,017 "," 20,017 ", -   ," (3,713)"," 3,713 "
